		Centro	OrdCliente	Planj.MRP	Ordem	Material	Texto breve material	InícProgr.	Fim prog.	FimProgOri	 Qtd.teór.	Qtd.forn.	Qtd. Pend.	Texto da ordem	Mot Atraso	Descrição	Conc Ordem
		1109		020	1132815901	15919482	EIXO RSF MAC 1 DENTE	16.01.2025	05.02.2025	05.02.2025	        1	       0	        1	OP ENTREGUE NO CORTE 13/01 AS 10:00 POR MARCELO OP relida, troca de ct 500 para 231 e 271 - Paola F. 13.01	0101	Manutenção  - ATRASO	07.03.2025
		1109		020	1132815902	15974270	EIXO RSF MAC K05 2 DENTES	16.01.2025	05.02.2025	05.02.2025	        3	       0	        3	OP ENTREGUE NO CORTE 13/01 AS 10:00 POR MARCELO	0167	Usinagem Pinhão - ATRASO	28.02.2025
		1109		020	1132835519	15923616	EIXO RSF MAC 1 DENTE	16.01.2025	05.02.2025	05.02.2025	        1	       0	        1	op entregue no corte 14/01 as 14:30 por marcelo	0101	Manutenção  - ATRASO	28.02.2025
		1109		020	1132835560	15923704	EIXO RSF MAC 2 DENTES	16.01.2025	05.02.2025	05.02.2025	        3	       0	        3	op entregue no corte 14/01 as 14:30 por marcelo	0101	Manutenção  - ATRASO	28.02.2025
		1109		020	1132837585	15920151	EIXO RSF VAZ 2 DENTES	16.01.2025	05.02.2025	05.02.2025	       21	       0	       21	op entregue no corte 14/01 as 14:30 por marcelo	0101	Manutenção  - ATRASO	28.02.2025
		1109		020	1132838468	15950049	EIXO RSF MAC M10 1 DENTE	16.01.2025	05.02.2025	05.02.2025	       10	       0	       10	op entregue no corte 14/01 as 14:30 por marcelo	0101	Manutenção  - ATRASO	28.02.2025
		1109		010	1132860124	15918477	EIXO ENTRADA GD	20.01.2025	05.02.2025	05.02.2025	        3	       0	        3	op entregue no corte 15:33 16/01/2025 por Marcelo	0101	Manutenção  - ATRASO	28.02.2025
		1109		010	1132892385	15925184	EIXO ENTRADA	03.02.2025	05.02.2025	10.02.2025	        1	       0	        1	ENTREGUE NO CORTE 21/01 AS 08:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	26.02.2025
		1109		040	1133007236	15937555	EIXO FREIO MODULAR 112	04.02.2025	05.02.2025	05.02.2025	        1	       0	        1	OPENTREGUE NO CORTE 03/02 AS 06:30 POR MARCELO	0101	Manutenção  - ATRASO	03.03.2025
		1109		010	1133007238	15922668	EIXO SAIDA W-LOCK 50X210	04.02.2025	05.02.2025	05.02.2025	        2	       0	        2	OPENTREGUE NO CORTE 03/02 AS 06:30 POR MARCELO	0101	Manutenção  - ATRASO	04.03.2025
		1109		010	1133007300	15931913	EIXO ENTRADA	04.02.2025	05.02.2025	05.02.2025	        5	       0	        5	Impressa em folha azul, solicitado por Gabriel Quinhones - Maira 30.01 OPENTREGUE NO CORTE 03/02 AS 06:30 POR MARCELO	0101	Manutenção  - ATRASO	05.03.2025
		1109		010	1133007309	15922503	EIXO SAIDA HS 30X143	04.02.2025	05.02.2025	05.02.2025	       50	       0	       50	OPENTREGUE NO CORTE 03/02 AS 06:30 POR MARCELO	0101	Manutenção  - ATRASO	28.02.2025
	*								05.02.2025		      112	       0	      112
		1109		100	1132565618	16031932	EIXO MACICO C/COROA DIR Ø60 Z40	31.01.2025	06.02.2025	06.02.2025	       10	       0	       10		0012	Usinagem de Eixos - ATRASO	20.02.2025
		1109		010	1132690330	16126765	EIXO SAIDA FO GA160 55X110	17.12.2024	06.02.2025	06.02.2025	        1	       0	        1	op entregue no corte 13/12 as 15:30 por MARCELO OP reimpressa a pedido do estoque - Paola F. 12.02	0012	Usinagem de Eixos - ATRASO	24.02.2025
		1109		010	1132759447	15951983	EIXO ENTRADA	21.01.2025	06.02.2025	03.02.2025	        2	       0	        2	OP ENTREGUE NO CORTE 13/01 AS 10:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	20.02.2025
		1109		020	1132815903	15953536	EIXO PINHAO IP 3 Z012	16.01.2025	06.02.2025	06.02.2025	        1	       0	        1	OP ENTREGUE NO CORTE 13/01 AS 10:00 POR MARCELO	0167	Usinagem Pinhão - ATRASO	25.02.2025
		1109		020	1132837581	15920030	EIXO RSF VAZ 4 DENTES	16.01.2025	06.02.2025	06.02.2025	       54	       0	       54	op entregue no corte 14/01 as 14:30 por marcelo	0167	Usinagem Pinhão - ATRASO	20.02.2025
		1109		020	1132847162	14040443	EIXO PINHAO WCG20 OP 1,25 Z011	20.01.2025	06.02.2025	06.02.2025	       20	       0	       20	Manter na 453, pois não tem alternativa para a geradora.	0101	Manutenção  - ATRASO	07.03.2025
		1109		010	1132847877	15918347	EIXO ENTRADA	20.01.2025	06.02.2025	06.02.2025	        3	       0	        3	OP ENTREGUE NO CORTE 16/01 AS 09:00 POR MARCELO Alterado de 2 para 3 peças, agrupamento, alinhado com Marcelo - Maira 20.01	0012	Usinagem de Eixos - ATRASO	20.02.2025
		1109		020	1132849244	15986137	EIXO RSF MAC M05 2 DENTES	20.01.2025	06.02.2025	07.02.2025	        1	       0	        1	op entregue no corte 15:33 16/01/2025 por Marcelo	0167	Usinagem Pinhão - ATRASO	26.02.2025
		1109		010	1132857027	15914837	EIXO ENTRADA	20.01.2025	06.02.2025	06.02.2025	        1	       0	        1	op entregue no corte 15:33 16/01/2025 por Marcelo	0012	Usinagem de Eixos - ATRASO	17.03.2025
		1109		010	1132858377	16167251	EIXO SAIDA OS GA180 60X135	21.01.2025	06.02.2025	06.02.2025	        1	       0	        1	OP ENTREGUE NO CORTE 20/001 AS 07:50 POR MARCELO OP reimpressa a pedido do estoque - Paola F. 12.02	0012	Usinagem de Eixos - ATRASO	21.02.2025
